WarNum,label,WarType,CcodeA,SideA,CcodeB,SideB,Intnl,StartMonth1,StartDay1,start,EndMonth1,EndDay1,end,StartMonth2,StartDay2,StartYear2,EndMonth2,EndDay2,EndYear2,TransFrom,WhereFought,Initiator,Outcome,TransTo,SideADeaths,SideBDeaths,Version
500,First Caucasus,5,365,Russia,-8,"Georgians, Dhagestania, Chechens",0,6,10,1818,-9,-9,1822,-8,-8,-8,-8,-8,-8,-8,2,Chechens,1,-8,5000,6000,4.1
501,Sidon-Damascus,6,-8,Sidon,-8,Damascus & Aleppo,0,6,-9,1820,7,21,1821,-8,-8,-8,-8,-8,-8,-8,6,Sidon,2,-8,-9,-9,4.1
502,First Two Sicilies,4,300,Austria,-8,-8,1,3,-9,1821,3,23,1821,-8,-8,-8,-8,-8,-8,-8,2,Liberals,1,-8,-9,-8,4.1
502,First Two Sicilies,4,329,Two Sicilies,-8,Liberals,1,7,2,1820,3,23,1821,-8,-8,-8,-8,-8,-8,-8,2,Liberals,1,-8,-9,-9,4.1
503,Spanish Royalists,4,230,Spain,-8,Royalists,0,12,1,1821,4,6,1823,-8,-8,-8,-8,-8,-8,-8,2,Royalists,4,1,-9,-9,4.1
505,Sardinian Revolt,4,300,Austria,-8,-8,1,3,10,1821,5,8,1821,-8,-8,-8,-8,-8,-8,-8,2,Carbonari,1,-8,-9,-8,4.1
505,Sardinian Revolt,4,325,Sardinia,-8,Carbonari,1,3,10,1821,5,8,1821,-8,-8,-8,-8,-8,-8,-8,2,Carbonari,1,-8,-9,-9,4.1
506,Greek Independence,5,640,Ottoman Empire,-8,Greeks,1,3,25,1821,4,25,1828,-8,-8,-8,-8,-8,-8,-8,2,Greeks,4,4,6000,3000,4.1
506,Greek Independence,5,-8,-8,200,United Kingdom,1,10,20,1827,10,27,1827,-8,-8,-8,-8,-8,-8,-8,2,Greeks,4,4,-8,80,4.1
506,Greek Independence,5,-8,-8,220,France,1,10,20,1827,10,27,1827,-8,-8,-8,-8,-8,-8,-8,2,Greeks,4,4,-8,40,4.1
506,Greek Independence,5,-8,-8,365,Russia,1,10,20,1827,4,25,1828,-8,-8,-8,-8,-8,-8,-8,2,Greeks,4,4,-8,60,4.1
507,Egypt-Mehdi,6,-8,Egypt,-8,Mehdi army,0,3,20,1824,4,-9,1824,-8,-8,-8,-8,-8,-8,-8,6,Mehdi army,1,-8,-9,-9,4.1
508,Janissari Revolt,4,640,Ottoman Empire,-8,Janissaries,0,6,14,1826,9,30,1826,-8,-8,-8,-8,-8,-8,-8,6,Janissaries,1,-8,300,6000,4.1
510,Miguelite War,4,-8,-8,200,United Kingdom,1,7,1,1831,5,26,1834,-8,-8,-8,-8,-8,-8,-8,2,Constitutionalists,2,-8,-8,100,4.1
510,Miguelite War,4,235,Portugal,-8,Constitutionalists,1,7,11,1828,5,26,1834,-8,-8,-8,-8,-8,-8,-8,2,Constitutionalists,2,-8,12000,8000,4.1
511,First Murid War,5,365,Russia,-8,Ghazi Muhammad,0,-9,-9,1830,10,17,1832,-8,-8,-8,-8,-8,-8,-8,2,Ghazi Muhammad,1,-8,1000,500,4.1
512,First Albanian Revolt,5,640,Ottoman Empire,-8,Albanians,0,2,-9,1830,11,-9,1831,-8,-8,-8,-8,-8,-8,-8,2,Albanians,1,-8,5000,10000,4.1
513,First French Insurrection,4,220,France,-8,Liberals,0,7,25,1830,7,29,1830,-8,-8,-8,-8,-8,-8,-8,2,Liberals,2,-8,400,1800,4.1
515,Belgian Independence,5,210,Netherlands,-8,Belgians,0,8,25,1830,11,4,1830,-8,-8,-8,-8,-8,-8,-8,2,Belgians,2,-8,500,600,4.1
516,Egyptian Taka Expedition,6,-8,Egypt,-8,Hadendowa,0,-9,-9,1831,-9,-9,1832,-8,-8,-8,-8,-8,-8,-8,6,Egypt,2,-8,1500,-9,4.1
517,First Polish,5,365,Russia,-8,Poles,0,2,7,1831,10,18,1831,-8,-8,-8,-8,-8,-8,-8,2,Poles,1,-8,15000,20000,4.1
518,First Syrian,5,640,Ottoman Empire,-8,Egyptians & Bashir,0,10,1,1831,12,27,1832,-8,-8,-8,-8,-8,-8,-8,6,Egyptians,2,-8,8000,4000,4.1
520,First Mexican,4,70,Mexico,-8,Liberals,0,1,2,1832,12,11,1832,-8,-8,-8,-8,-8,-8,-8,1,Liberals,2,-8,-9,-9,4.1
521,Egypt- Palestinian Anti-Conscription Revolt,6,-8,Palestinians,-8,Egypt,0,4,19,1834,10,-9,1834,-8,-8,-8,-8,-8,-8,-8,6,Palestinians,2,-8,1500,500,4.1
522,First Carlist War,4,235,Portugal,-8,-8,1,10,15,1835,2,15,1836,-8,-8,-8,-8,-8,-8,-8,2,Carlists,1,-8,50,-8,4.1
522,First Carlist War,4,230,Spain,-8,Carlists,1,7,15,1834,7,15,1840,-8,-8,-8,-8,-8,-8,-8,2,Carlists,1,-8,65000,60000,4.1
522,First Carlist War,4,220,France,-8,-8,1,10,31,1835,1,17,1839,-8,-8,-8,-8,-8,-8,-8,2,Carlists,1,-8,7700,-8,4.1
522,First Carlist War,4,200,United Kingdom,-8,-8,1,7,10,1835,9,1,1837,-8,-8,-8,-8,-8,-8,-8,2,Carlists,1,-8,2500,-8,4.1
523,Second Murid,5,365,Russia,-8,Shamil,0,9,26,1834,10,27,1834,-8,-8,-8,-8,-8,-8,-8,2,Shamil,7,-8,-9,-9,4.1
525,Cabanos Revolt,5,140,Brazil,-8,Cabanos,0,1,6,1835,5,-9,1837,-8,-8,-8,-8,-8,-8,-8,1,Cabanos,1,-8,-9,-9,4.1
526,Farroupilha War,5,140,Brazil,-8,Farrapos,0,9,19,1835,3,1,1845,-8,-8,-8,-8,-8,-8,-8,1,Farrapos,1,-8,-9,-9,4.1
527,Texan,5,70,Mexico,-8,Texans,0,10,1,1835,4,22,1836,-8,-8,-8,-8,-8,-8,-8,1,Texans,2,-8,1500,700,4.1
528,First Bosnian,5,640,Ottoman Empire,-8,Bosnians,0,-9,-9,1836,-9,-9,1837,-8,-8,-8,-8,-8,-8,-8,2,Bosnians,1,-8,-9,-9,4.1
530,Third Murid,5,365,Russia,-8,Shamil,0,7,-9,1836,-9,-9,1852,-8,-8,-8,-8,-8,-8,-8,2,Shamil,1,-8,15000,-9,4.1
531,Sabinada Rebellion,5,140,Brazil,-8,Bahian Sabinada,0,11,7,1837,3,13,1838,-8,-8,-8,-8,-8,-8,-8,1,Bahian Sabinada,1,-8,600,1200,4.1
532,Druze Rebellion,6,-8,Egypt & Bashir,-8,Druze,0,9,27,1837,8,22,1838,-8,-8,-8,-8,-8,-8,-8,6,Druze,1,-8,15000,-9,4.1
533,"Second Syrian, Phase 1",5,640,Ottoman Empire,-8,Egypt,0,6,10,1839,6,24,1839,-8,-8,-8,-8,-8,-8,-8,6,Mehmet Ali,2,-8,2000,1000,4.1
535,Lebanon Insurgency,6,-8,Lebanese Maronites,-8,Amir Bashir & Egypt,0,5,27,1840,7,13,1840,-8,-8,-8,-8,-8,-8,-8,6,Amir Bashir & Egypt,2,-8,3500,1000,4.1
536,First Colombian,4,100,Colombia,-8,Progressives,0,7,15,1840,7,15,1842,-8,-8,-8,-8,-8,-8,-8,1,Progressives,2,-8,-9,-9,4.1
537,"Second Syrian, Phase 2",5,200,United Kingdom,-8,-8,1,9,9,1840,11,27,1840,-8,-8,-8,-8,-8,-8,-8,6,United Kingdom,1,-8,14,-8,4.1
537,"Second Syrian, Phase 2",5,640,Ottoman Empire,-8,Egypt,1,9,9,1840,11,27,1840,-8,-8,-8,-8,-8,-8,-8,6,United Kingdom,1,-8,8000,19000,4.1
538,"First Argentina War, Phase 2",4,160,Argentina,-8,Unitarios,0,1,1,1841,12,6,1842,-8,-8,-8,-8,-8,-8,1527,1,Unitarios,1,-8,300,3000,4.1
540,Second Bosnian,5,640,Ottoman Empire,-8,Bosnians,0,-9,-9,1841,-9,-9,1841,-8,-8,-8,-8,-8,-8,-8,2,Bosnians,1,-8,-9,-9,4.1
541,Triangular Revolt,4,70,Mexico,-8,Military,0,9,4,1841,10,6,1841,-8,-8,-8,-8,-8,-8,-8,1,Military,2,-8,-9,-9,4.1
542,Karbala Revolt,5,640,Ottoman Empire,-8,Karbala,0,12,19,1842,1,13,1843,-8,-8,-8,-8,-8,-8,-8,6,Ottomans,1,-8,1600,3000,4.1
543,First Maronite-Druze,7,-8,Maronites,-8,Druze,0,4,30,1845,5,31,1845,-8,-8,-8,-8,-8,-8,-8,6,Maronites,2,-8,2000,1000,4.1
545,"Mayan Caste War, Phase 1",6,-8,Mayans,-8,Yucutan,0,1,15,1847,8,16,1848,-8,-8,-8,-8,-8,-8,-8,1,Mayans,4,553,-9,1800,4.1
546,Second Carlist,4,230,Spain,-8,Carlists,0,5,15,1847,5,1,1849,-8,-8,-8,-8,-8,-8,-8,2,Carlists,1,-8,3000,7000,4.1
547,Second Two Sicilies,4,329,Two Sicilies,-8,Liberals,0,1,12,1848,1,27,1848,5,15,1848,5,15,1849,-8,2,Liberals,1,-8,1500,-9,4.1
548,First Venezuelan,4,101,Venezuela,-8,Paez led Conservatives ,0,2,4,1848,8,15,1849,-8,-8,-8,-8,-8,-8,-8,1,Former Pres. Paez,1,-8,1500,-9,4.1
550,Viennese Revolt,4,300,Austria,-8,Viennese,0,3,13,1848,10,31,1848,-8,-8,-8,-8,-8,-8,-8,2,Viennese,1,-8,249,3000,4.1
551,Milan Five Day Revolt,5,300,Austria,-8,Milan,0,3,18,1848,3,23,1848,-8,-8,-8,-8,-8,-8,-8,2,Milan,4,10,600,430,4.1
552,Second French Insurrection,4,220,France,-8,Radicals,0,6,23,1848,6,26,1848,-8,-8,-8,-8,-8,-8,-8,2,Radicals,1,-8,1200,1600,4.1
553,"Mayan Caste War, Phase 2",5,70,Mexico,-8,Yucatan Maya,0,8,17,1848,3,4,1855,-8,-8,-8,-8,-8,-8,545,1,Mexico,1,-8,-9,-9,4.1
554,Hungarian,5,300,Austria,-8,Hungary,1,9,9,1848,8,13,1849,-8,-8,-8,-8,-8,-8,-8,2,Magyars,1,-8,46000,20000,4.1
554,Hungarian,5,365,Russia,-8,-8,1,7,16,1849,8,13,1849,-8,-8,-8,-8,-8,-8,-8,2,Magyars,1,-8,14500,-8,4.1
555,First Chilean,4,155,Chile,-8,Liberals,0,9,5,1851,12,15,1851,-8,-8,-8,-8,-8,-8,-8,1,Liberals,1,-8,1500,2500,4.1
556,First Turco-Montenegrin,5,640,Ottoman Empire,-8,Montenegro & Hercegovina,0,12,2,1852,3,13,1853,-8,-8,-8,-8,-8,-8,-8,2,Turkey,2,-8,-9,-9,4.1
557,First Peru,4,135,Peru,-8,Liberals,0,12,21,1853,1,7,1855,-8,-8,-8,-8,-8,-8,-8,1,Liberals,2,-8,-9,-9,4.1
558,Puebla War,4,70,Mexico,-8,Puebla,0,12,11,1855,3,21,1856,-8,-8,-8,-8,-8,-8,-8,1,Military,1,-8,600,3000,4.1
560,Second Peru,4,135,Peru,-8,Conservatives,0,10,31,1856,3,7,1858,-8,-8,-8,-8,-8,-8,-8,1,Conservatives,1,-8,-9,-9,4.1
561,Mexican Reform,4,70,Mexico,-8,Liberals,0,2,15,1858,1,1,1861,-8,-8,-8,-8,-8,-8,-8,1,Liberals,4,-8,-9,-9,4.1
562,Second Turco-Montenegrin,5,640,Ottoman Empire,-8,Montenegrins,0,5,4,1858,6,1,1859,-8,-8,-8,-8,-8,-8,-8,2,Montenegrins,2,-8,3000,1400,4.1
563,Second Venezuelan/Federalist,4,101,Venezuela,-8,Liberals,0,2,1,1859,5,23,1863,-8,-8,-8,-8,-8,-8,-8,1,Liberals,2,-8,15000,5000,4.1
565,Second Colombian,4,100,Colombia,-8,Liberals,0,5,15,1860,7,18,1861,-8,-8,-8,-8,-8,-8,-8,1,Liberals,2,-8,-9,-9,4.1
566,Second Maronite-Druze,7,-8,Maronites,-8,Druze,0,5,26,1860,7,12,1860,-8,-8,-8,-8,-8,-8,-8,6,Maronites,2,-8,8000,1500,4.1
567,"Taiping Rebellion, Phase 2",4,710,China,-8,Taipings,1,10,25,1860,2,9,1866,-8,-8,-8,-8,-8,-8,1534,7,Taipings,1,-8,26000,85000,4.1
567,"Taiping Rebellion, Phase 2",4,200,United Kingdom,-8,-8,1,3,1,1862,8,1,1862,-8,-8,-8,-8,-8,-8,1534,7,Taipings,1,-8,25,-8,4.1
568,Second Nien Revolt,5,710,China,-8,Niens,0,10,25,1860,8,16,1868,-8,-8,-8,-8,-8,-8,,7,Niens,1,-8,-9,-9,4.1
570,Miao Revolt Phase 2,5,710,China,-8,Miaos,0,10,25,1860,5,1,1872,-8,-8,-8,-8,-8,-8,1537,7,Miaos,1,-8,-9,-9,4.1
571,Panthay Rebellion Phase 2,5,710,China,-8,Muslims (Hui),0,10,25,1860,12,26,1872,-8,-8,-8,-8,-8,-8,1542,7,Muslims,1,-8,-9,-9,4.1
572,U.S. Civil War,5,2,United States of America,-8,Confederacy,0,4,10,1861,4,9,1865,-8,-8,-8,-8,-8,-8,-8,1,Confederacy,1,-8,360000,258000,4.1
573,Third Buenos Aires,5,160,Argentina,-8,Buenos Aires,0,8,20,1861,12,2,1861,-8,-8,-8,-8,-8,-8,-8,1,Buenos Aires,2,-8,500,500,4.1
575,Third Turco-Montenegrin,5,640,Turkey,-8,Montenegro,0,12,-9,1861,8,31,1862,-8,-8,-8,-8,-8,-8,-8,2,Ottoman Empire,3,-8,-9,-9,4.1
576,Tungan Rebellion,5,710,China,-8,Muslims  in Sinkiang,0,5,-9,1862,10,24,1873,-8,-8,-8,-8,-8,-8,-8,7,Muslims  in Sinkiang,1,-8,-9,-9,4.1
577,Sioux-Minnesota,6,-8,Santee Sioux,-8,Settlers & militia,0,8,17,1862,9,26,1862,-8,-8,-8,-8,-8,-8,-8,1,Santee Sioux,2,-8,217,851,4.1
578,Bolivan Perez Rebellion,4,145,Boliva,-8,Gregorio Perez's followers,0,9,15,1862,9,15,1862,-8,-8,-8,-8,-8,-8,-8,1,Gregorio Perez,1,-8,-9,-9,4.1
580,Second Polish,5,365,Russia,-8,Poles,0,1,22,1863,4,19,1864,-8,-8,-8,-8,-8,-8,-8,2,Poles,1,-8,10000,6500,4.1
581,Second Argentina,4,160,Argentina,-8,Montoneros,0,4,2,1863,11,12,1863,-8,-8,-8,-8,-8,-8,-8,1,Montoneros,1,-8,-9,-9,4.1
582,Xinjiang Muslim Revolt,5,365,Russia,-8,-8,1,6,24,1871,7,3,1871,-8,-8,-8,-8,-8,-8,-8,7,Muslims,2,-8,-9,-8,4.1
582,Xinjiang Muslim Revolt,5,710,China,-8,Muslims,1,7,-9,1864,7,3,1871,-8,-8,-8,-8,-8,-8,-8,7,Muslims,2,-8,-9,-9,4.1
583,First  Cretan,5,640,Ottoman Empire,-8,Cretans,0,5,29,1866,2,22,1867,-8,-8,-8,-8,-8,-8,-8,2,Cretans,1,-8,-9,-9,4.1
585,Yellow Cliff Revolt,5,710,China,-8,Zhang Jizhong's followers,0,10,-9,1866,10,-91866,,-8,-8,-8,-8,-8,-8,-8,7,Zhang Jizhong,1,-8,-9,-9,4.1
586,Third Argentina,4,160,Argentina,-8,Montoneros,0,12,15,1866,10,15,1867,-8,-8,-8,-8,-8,-8,-8,1,Federalists,1,-8,-9,-9,4.1
587,Queretaro,4,70,Mexico,-8,Liberals,0,2,6,1867,5,14,1867,-8,-8,-8,-8,-8,-8,40,1,Liberals,2,-8,1500,1000,4.1
588,Meiji Restoration,4,740,Japan,-8,Tokugawa,0,1,3,1868,7,4,1868,-8,-8,-8,-8,-8,-8,-8,7,Japan,1,-8,-9,-9,4.1
590,Third Venezuelan,4,101,Venezuela,-8,Conservatives,0,1,11,1868,8,14,1868,8,14,1869,1,7,1871,-8,1,Conservatives,2,-8,-9,-9,4.1
591,Spanish Liberals,4,230,Spain,-8,Liberals,0,9,18,1868,9,29,1868,-8,-8,-8,-8,-8,-8,-8,2,Liberals,2,-8,-9,-9,4.1
592,Guerre des Cacos,4,41,Haiti,-8,Black peasants,0,2,-9,1869,12,18,1869,-8,-8,-8,-8,-8,-8,-8,1,Black peasants,2,-8,-9,-9,4.1
593,Fourth Argentina,5,160,Argentina,-8,Entre Rios Province,0,5,20,1870,3,13,1871,-8,-8,-8,-8,-8,-8,-8,1,Entre Rios Province,1,-8,-9,-9,4.1
595,Bolivia-Criollos,4,145,Bolivia,-8,Crillos,0,11,24,1870,1,15,1871,-8,-8,-8,-8,-8,-8,-8,1,Crillos,2,-8,-9,-9,4.1
596,Paris Commune,4,220,France,-8,Communards,0,4,2,1871,5,29,1871,-8,-8,-8,-8,-8,-8,-8,2,Communards,1,-8,879,25000,4.1
597,Third Carlist,4,230,Spain,-8,Carlists,0,4,20,1872,2,20,1876,-8,-8,-8,-8,-8,-8,-8,2,Carlists,1,-8,7000,43000,4.1
598,Catonalist Uprising,5,230,Spain,-8,Rebel cities (cantons),0,-9,-9,1874,1,-9,1875,-8,-8,-8,-8,-8,-8,-8,2,Rebel cities (cantons),1,-8,-9,-9,4.1
600,Fifth Argentina,4,160,Argentina,-8,Mitre led Rebels,0,9,-9,1874,11,6,1874,-8,-8,-8,-8,-8,-8,-8,1,Mitre led Rebels,1,-8,-9,-9,4.1
601,Bosnia & Bulgaria Revolt,5,640,Ottoman Empire,-8,Bosnia & Bulgaria,0,6,30,1875,6,29,1876,-8,-8,-8,-8,-8,-8,-8,2,Bosnia & Bulgaria,4,373,6000,3000,4.1
602,Diaz Revolt,4,70,Mexico,-8,Rebels,0,3,-9,1876,11,23,1876,-8,-8,-8,-8,-8,-8,-8,1,Rebels,2,-8,1900,-9,4.1
603,Defeat of Xinjiang Muslims,5,710,China,-8,Muslims,0,4,-9,1876,12,1,1877,-8,-8,-8,-8,-8,-8,-8,7,China,1,-8,-9,-9,4.1
605,Third Colombian,4,100,Colombia,-8,Conservatives,0,7,26,1876,7,1,1877,-8,-8,-8,-8,-8,-8,-8,1,Conservatives,1,-8,2100,1770,4.1
607,Satsuma Rebellion,5,740,Japan,-8,Satsumas,0,1,29,1877,9,24,1877,-8,-8,-8,-8,-8,-8,-8,7,Satsumas,1,-8,7000,10000,4.1
608,Argentine Indians,5,160,Argentina,-8,Indians,0,4,6,1879,7,8,1880,-8,-8,-8,-8,-8,-8,-8,1,Argentina,1,-8,200,1500,4.1
610,Fourth Buenos Aires,5,160,Argentina,-8,Buenos Aires,0,6,21,1880,7,21,1880,-8,-8,-8,-8,-8,-8,-8,1,Buenos Aires,1,-8,400,800,4.1
611,Haitian Civil War,4,41,Haiti,-8,Liberals,0,3,27,1883,1,8,1884,-8,-8,-8,-8,-8,-8,-8,1,Liberals,1,-8,8000,100,4.1
612,Fourth Colombian,4,100,Colombia,-8,Liberals,0,11,15,1884,8,26,1885,-8,-8,-8,-8,-8,-8,-8,1,Liberals,1,-8,300,700,4.1
613,Peru's National Problem,5,135,Peru,-8,Indians,0,3,2,1885,5,25,1885,-8,-8,-8,-8,-8,-8,-8,1,Indians,1,-8,200,2000,4.1
616,First Yemen Rebellion,5,640,Ottoman Empire,-8,Zaidi Imam,0,4,-9,1890,9,-9,1892,-8,-8,-8,-8,-8,-8,-8,6,Zaidi Imam,1,-8,-9,-9,4.1
617,Second Chilean,4,155,Chile,-8,Congressists,0,1,7,1891,8,29,1891,-8,-8,-8,-8,-8,-8,-8,1,Congressists,2,-8,1000,700,4.1
618,Zaili-Jinden Revolt,5,710,China,-8,Zaili & Jindan Sects,0,11,11,1891,12,27,1891,-8,-8,-8,-8,-8,-8,-8,7,Zaili & Jindan Sects,1,-8,500,10000,4.1
620,Brazil Federalists,5,140,Brazil,-8,Rio Grande do Sul,0,2,2,1893,8,31,1894,-8,-8,-8,-8,-8,-8,-8,1,Rio Grande do Sul,1,-8,1500,-9,4.1
621,Brazil Naval,4,140,Brazil,-8,Naval Royalists,0,9,6,1893,4,16,1894,-8,-8,-8,-8,-8,-8,-8,1,Naval Royalists,1,-8,1000,-9,4.1
623,Tonghak Rebellion,4,740,Japan,-8,-8,1,10,24,1894,11,28,1894,-8,-8,-8,-8,-8,-8,-8,7,Tonghak Society,1,-8,-9,-8,4.1
623,Tonghak Rebellion,4,730,Korea,-8,Tonghak Society,1,2,29,1894,5,6,1894,9,14,1894,11,28,1894,-8,7,Tonghak Society,1,-8,-9,-9,4.1
625,Third Peru,4,135,Peru,-8,Liberals,0,10,15,1894,3,19,1895,-8,-8,-8,-8,-8,-8,-8,1,Liberals,2,-8,-9,-9,4.1
626,Fifth Colombian,4,100,Colombia,-8,Liberals,0,1,22,1895,3,15,1895,-8,-8,-8,-8,-8,-8,-8,1,Liberals,1,-8,400,800,4.1
627,Ecuador Liberals,4,130,Ecuador,-8,liberal caudillos,0,2,18,1895,9,22,1895,-8,-8,-8,-8,-8,-8,-8,1,liberal caudillos,2,-8,900,100,4.1
628,First Gansu Muslim,5,710,China,-8,Gansu Muslims,0,4,-9,1895,4,-9,1896,-8,-8,-8,-8,-8,-8,-8,7,Gansu Muslims,1,-8,-9,-9,4.1
630,Druze-Turkish,5,640,Ottoman Empire,-8,Druze,0,10,-9,1895,-9,-9,1896,-8,-8,-8,-8,-8,-8,-8,6,Druze,1,-8,-9,-9,4.1
631,Second Cretan,5,640,Ottoman Empire,-8,Cretan Muslims,0,3,10,1896,2,14,1897,-8,-8,-8,-8,-8,-8,-8,2,Cretan Muslims,4,76,-9,-9,4.1
632,Third Brazil-Canudos,5,140,Brazil,-8,Canudos,0,10,1,1896,10,5,1897,-8,-8,-8,-8,-8,-8,-8,1,Brazil,1,-8,2200,3000,4.1
633,Fourth Venezuelan,4,101,Venezuela,-8,Castro Led Rebels,0,5,24,1899,10,22,1899,-8,-8,-8,-8,-8,-8,-8,1,Castro Led Rebels,2,-8,1200,900,4.1
635,Second Yaqui War,5,70,Mexico,-8,Yaqui Indians,0,7,21,1899,1,18,1900,-8,-8,-8,-8,-8,-8,-8,1,Yaqui Indians,1,-8,100,1500,4.1
636,Sixth Colombian (War of the 1000 Days),4,100,Colombia,-8,Liberals,0,10,17,1899,11,21,1902,-8,-8,-8,-8,-8,-8,-8,1,Liberals,1,-8,47000,53000,4.1
638,Fifth Venezuelan,4,101,Venezuela,-8,Matos Led Rebels,0,12,19,1901,7,19,1903,-8,-8,-8,-8,-8,-8,-8,1,Matos Led Rebels,1,-8,1000,3000,4.1
640,Ilinden,5,640,Ottoman Empire,-8,IMRO Rebels,0,8,2,1903,11,2,1903,-8,-8,-8,-8,-8,-8,-8,2,IMRO Rebels,1,-8,5330,1000,4.1
641,First Uruguay,4,165,Uruguay,-8,Blancos,0,1,1,1904,9,1,1904,-8,-8,-8,-8,-8,-8,-8,1,Blancos,1,-8,-9,-9,4.1
642,Second Yemen Rebellion,5,640,Ottoman Empire,-8,Imam Yahya's forces,0,11,8,1904,1,10,1906,-8,-8,-8,-8,-8,-8,-8,6,Yemen,6,-8,30000,-9,4.1
643,Bloody Sunday,4,365,Russia,-8,Workers/Peasants,0,1,22,1905,1,1,1906,-8,-8,-8,-8,-8,-8,-8,2,Workers/Peasants,1,-8,1500,-9,4.1
645,Romanian Peasant Revolt,4,360,Romania,-8,Peasants,0,3,15,1907,4,30,1907,-8,-8,-8,-8,-8,-8,-8,2,Peasants,1,-8,2000,-9,4.1
